# SYNTHETIC demo — n=226 hatchery (cgar_hatchery_226) — gen_candidate_demo.py
sample_id	karyotype_class	confidence	family_id
S001	H1H1	0.948362	BL01
S002	H1H2	0.981649	BL02
S003	H1H2	0.885809	BL03
S004	H2H2	0.942183	BL04
S005	H1H2	0.945793	BL05
S006	H1H2	0.958852	BL06
S007	H1H1	0.881257	BL07
S008	H2H2	0.900125	BL08
S009	H1H2	0.962599	BL09
S010	H1H2	0.870958	BL10
S011	H1H2	0.94296	BL11
S012	H1H2	0.941238	BL12
S013	H1H1	0.897189	BL13
S014	H1H1	0.878619	BL14
S015	H2H2	0.906515	BL15
S016	H2H2	0.911411	BL16
S017	H1H2	0.972163	BL17
S018	H2H2	0.865614	BL18
S019	H1H2	0.938722	BL01
S020	H1H2	0.863254	BL02
S021	H2H2	0.921929	BL03
S022	H1H2	0.913364	BL04
S023	H1H2	0.961754	BL05
S024	H1H2	0.86434	BL06
S025	H2H2	0.862535	BL07
S026	H1H2	0.85392	BL08
S027	H2H2	0.865942	BL09
S028	H1H2	0.863018	BL10
S029	H1H2	0.945952	BL11
S030	H1H2	0.913723	BL12
S031	H1H2	0.911186	BL13
S032	H1H2	0.86328	BL14
S033	H1H2	0.883077	BL15
S034	H2H2	0.981463	BL16
S035	H1H1	0.870062	BL17
S036	H2H2	0.930003	BL18
S037	H1H1	0.948685	BL01
S038	H2H2	0.909235	BL02
S039	H1H2	0.929716	BL03
S040	H2H2	0.886895	BL04
S041	H1H2	0.876419	BL05
S042	H1H2	0.915696	BL06
S043	H1H2	0.904305	BL07
S044	H1H1	0.893743	BL08
S045	H2H2	0.932046	BL09
S046	H1H2	0.981058	BL10
S047	H1H2	0.885215	BL11
S048	H1H1	0.870468	BL12
S049	H1H2	0.882205	BL13
S050	H2H2	0.887036	BL14
S051	H1H2	0.93455	BL15
S052	H2H2	0.890792	BL16
S053	H2H2	0.901623	BL17
S054	H1H2	0.933417	BL18
S055	H2H2	0.956016	BL01
S056	H1H2	0.967796	BL02
S057	H1H2	0.903775	BL03
S058	H2H2	0.926432	BL04
S059	H2H2	0.894023	BL05
S060	H2H2	0.935783	BL06
S061	H1H2	0.980709	BL07
S062	H1H2	0.897521	BL08
S063	H1H2	0.864454	BL09
S064	H1H2	0.946914	BL10
S065	H1H1	0.88622	BL11
S066	H1H2	0.926257	BL12
S067	H1H2	0.959913	BL13
S068	H1H2	0.901604	BL14
S069	H1H2	0.868042	BL15
S070	H1H2	0.870508	BL16
S071	H2H2	0.870518	BL17
S072	H2H2	0.881085	BL18
S073	H1H2	0.941914	BL01
S074	H1H2	0.980633	BL02
