# SYNTHETIC demo — per-window popstats — gen_candidate_demo.py
window_id	chrom	start	end	pi	dxy_H1_H2	arrangement_FST_like	HWE_FIS	heterozygosity_obs	heterozygosity_exp
LRR02_W001	C_gar_LG14	22400000	22499999	0.00458	0.009398	0.546469	-0.001068	0.484317	0.481176
LRR02_W002	C_gar_LG14	22500000	22599999	0.00515	0.01026	0.532077	-0.053426	0.509647	0.488671
LRR02_W003	C_gar_LG14	22600000	22699999	0.003841	0.007717	0.464734	-0.040656	0.503469	0.486542
LRR02_W004	C_gar_LG14	22700000	22799999	0.004012	0.007895	0.438612	-0.073009	0.519122	0.488266
LRR02_W005	C_gar_LG14	22800000	22899999	0.004624	0.009353	0.451555	-0.059879	0.512769	0.483321
LRR02_W006	C_gar_LG14	22900000	22999999	0.004315	0.009213	0.434449	-0.026122	0.496438	0.487941
LRR02_W007	C_gar_LG14	23000000	23099999	0.005006	0.01001	0.476899	-0.015408	0.491254	0.479503
LRR02_W008	C_gar_LG14	23100000	23199999	0.005302	0.010666	0.417066	-0.080347	0.522672	0.487393
LRR02_W009	C_gar_LG14	23200000	23299999	0.003844	0.008037	0.494376	-0.042289	0.504259	0.488746
LRR02_W010	C_gar_LG14	23300000	23399999	0.004756	0.009393	0.46336	-0.068349	0.516867	0.487718
LRR02_W011	C_gar_LG14	23400000	23499999	0.004165	0.008942	0.470867	-0.046025	0.506067	0.484175
LRR02_W012	C_gar_LG14	23500000	23599999	0.004207	0.009009	0.49596	-0.016109	0.491594	0.486959
LRR02_W013	C_gar_LG14	23600000	23699999	0.003956	0.008691	0.451439	-0.00316	0.485329	0.484527
LRR02_W014	C_gar_LG14	23700000	23799999	0.004114	0.008663	0.487191	-0.040185	0.503242	0.482654
LRR02_W015	C_gar_LG14	23800000	23899999	0.004736	0.009994	0.527426	-0.053563	0.509714	0.483357
LRR02_W016	C_gar_LG14	23900000	23999999	0.003816	0.008309	0.409285	-0.011073	0.489157	0.483974
LRR02_W017	C_gar_LG14	24000000	24099999	0.004713	0.009763	0.488353	-0.073049	0.519141	0.480368
LRR02_W018	C_gar_LG14	24100000	24199999	0.004655	0.009535	0.480597	-0.04145	0.503854	0.488587
LRR02_W019	C_gar_LG14	24200000	24299999	0.004839	0.009585	0.50608	-0.055514	0.510658	0.480625
LRR02_W020	C_gar_LG14	24300000	24399999	0.004383	0.009678	0.52669	-0.044344	0.505254	0.487408
LRR02_W021	C_gar_LG14	24400000	24499999	0.004626	0.009293	0.513202	-0.011936	0.489575	0.4856
LRR02_W022	C_gar_LG14	24500000	24599999	0.00427	0.008939	0.420828	-0.061313	0.513463	0.479458
LRR02_W023	C_gar_LG14	24600000	24699999	0.005344	0.011487	0.477519	-0.026293	0.496521	0.485755
LRR02_W024	C_gar_LG14	24700000	24799999	0.004553	0.009264	0.478833	-0.037795	0.502085	0.482598
LRR02_W025	C_gar_LG14	24800000	24899999	0.00416	0.008836	0.503969	-0.062527	0.514051	0.480084
LRR02_W026	C_gar_LG14	24900000	24999999	0.005008	0.011099	0.516776	-0.015271	0.491188	0.486052
LRR02_W027	C_gar_LG14	25000000	25099999	0.004422	0.009383	0.473691	-0.002841	0.485174	0.47991
LRR02_W028	C_gar_LG14	25100000	25199999	0.005391	0.010877	0.448885	-0.035302	0.500879	0.488223
LRR02_W029	C_gar_LG14	25200000	25299999	0.005207	0.011248	0.502767	-0.02074	0.493834	0.481866
LRR02_W030	C_gar_LG14	25300000	25399999	0.003872	0.008238	0.43475	-0.044593	0.505374	0.486481
LRR02_W031	C_gar_LG14	25400000	25499999	0.005366	0.010823	0.547527	-0.062383	0.513981	0.483973
LRR02_W032	C_gar_LG14	25500000	25599999	0.005082	0.010887	0.460867	-0.009538	0.488414	0.480505
LRR02_W033	C_gar_LG14	25600000	25699999	0.005119	0.011334	0.534823	-0.071788	0.518531	0.482686
LRR02_W034	C_gar_LG14	25700000	25799999	0.003958	0.008127	0.463909	-0.068285	0.516836	0.483413
LRR02_W035	C_gar_LG14	25800000	25899999	0.005134	0.010976	0.448083	-0.071417	0.518352	0.479928
LRR02_W036	C_gar_LG14	25900000	25999999	0.005102	0.010425	0.489136	-0.065553	0.515515	0.485792
LRR02_W037	C_gar_LG14	26000000	26099999	0.003936	0.008232	0.470261	-0.040079	0.50319	0.480894
LRR02_W038	C_gar_LG14	26100000	26199999	0.004894	0.010828	0.433641	-0.075145	0.520155	0.481581
LRR02_W039	C_gar_LG14	26200000	26299999	0.004343	0.009557	0.405273	-0.077561	0.521324	0.484132
LRR02_W040	C_gar_LG14	26300000	26399999	0.004548	0.009206	0.5097	-0.049343	0.507672	0.488479
LRR02_W041	C_gar_LG14	26400000	26499999	0.004148	0.00874	0.420379	-0.072809	0.519025	0.488343
LRR02_W042	C_gar_LG14	26500000	26599999	0.005218	0.011252	0.480415	-0.027302	0.497009	0.481059
LRR02_W043	C_gar_LG14	26600000	26699999	0.004094	0.008259	0.4429	-0.049191	0.507599	0.483827
LRR02_W044	C_gar_LG14	26700000	26799999	0.004231	0.008707	0.527939	-0.017086	0.492066	0.481323
LRR02_W045	C_gar_LG14	26800000	26899999	0.004702	0.009403	0.500441	-0.03133	0.498957	0.480598
