# SYNTHETIC demo — local-PCA per-window summaries — gen_candidate_demo.py
window_id	chrom	start	end	pc1_median_H1H1	pc1_median_H1H2	pc1_median_H2H2	pc2_median_H1H1	pc2_median_H1H2	pc2_median_H2H2	window_cluster_continuity
LRR02_W001	C_gar_LG14	22400000	22499999	-0.470536	-0.019376	0.516839	-0.046068	0.043031	-0.020325	0.733978
LRR02_W002	C_gar_LG14	22500000	22599999	-0.497459	-0.017646	0.480811	0.037129	-0.041456	-0.039328	0.829747
LRR02_W003	C_gar_LG14	22600000	22699999	-0.528782	-0.005499	0.452261	0.03803	0.007028	-0.016435	0.810454
LRR02_W004	C_gar_LG14	22700000	22799999	-0.468171	-0.02902	0.513094	0.004146	0.035256	-0.047909	0.732537
LRR02_W005	C_gar_LG14	22800000	22899999	-0.520539	0.007255	0.472911	-0.048606	-0.039719	0.01399	0.762347
LRR02_W006	C_gar_LG14	22900000	22999999	-0.525804	0.019875	0.502701	0.026985	-0.025017	-0.017774	0.826245
LRR02_W007	C_gar_LG14	23000000	23099999	-0.448333	-0.005104	0.526859	0.037973	0.028574	0.01775	0.781216
LRR02_W008	C_gar_LG14	23100000	23199999	-0.451587	-0.013627	0.479866	-0.002237	0.017363	-0.045897	0.763482
LRR02_W009	C_gar_LG14	23200000	23299999	-0.51194	0.001553	0.509278	-0.018381	0.043768	0.042296	0.772504
LRR02_W010	C_gar_LG14	23300000	23399999	-0.475319	-0.008601	0.430021	0.048759	0.04938	0.001031	0.732876
LRR02_W011	C_gar_LG14	23400000	23499999	-0.528274	-0.025482	0.436157	0.025508	0.02613	0.048815	0.7905
LRR02_W012	C_gar_LG14	23500000	23599999	-0.491872	-0.022171	0.46818	-0.010294	0.030978	-0.037833	0.783832
LRR02_W013	C_gar_LG14	23600000	23699999	-0.492243	-0.011993	0.515182	0.037218	0.01279	0.021756	0.789471
LRR02_W014	C_gar_LG14	23700000	23799999	-0.466714	0.029729	0.520271	0.005869	-0.025505	0.046061	0.822649
LRR02_W015	C_gar_LG14	23800000	23899999	-0.441666	-0.023395	0.493664	0.038774	-0.016684	-0.012122	0.82514
LRR02_W016	C_gar_LG14	23900000	23999999	-0.521233	-0.016415	0.494492	0.036939	-0.039367	-0.028374	0.778688
LRR02_W017	C_gar_LG14	24000000	24099999	-0.484267	-0.01315	0.505212	-0.02081	0.005036	-0.020619	0.743181
LRR02_W018	C_gar_LG14	24100000	24199999	-0.473895	0.01126	0.51204	-0.024395	-0.040588	-0.00197	0.777151
LRR02_W019	C_gar_LG14	24200000	24299999	-0.453959	0.008819	0.430073	0.042128	-0.018143	-0.022044	0.798115
LRR02_W020	C_gar_LG14	24300000	24399999	-0.514441	0.007044	0.456926	0.001821	-0.030168	-0.033251	0.779103
LRR02_W021	C_gar_LG14	24400000	24499999	-0.44326	0.011085	0.450063	0.003137	-0.008672	-0.0222	0.812151
LRR02_W022	C_gar_LG14	24500000	24599999	-0.519754	-0.001274	0.484695	-0.038975	-0.03297	-0.008564	0.770375
LRR02_W023	C_gar_LG14	24600000	24699999	-0.526989	0.018268	0.486713	0.037382	-0.024822	0.043288	0.810017
LRR02_W024	C_gar_LG14	24700000	24799999	-0.494169	-0.001729	0.501494	0.024311	0.045939	-0.009992	0.776599
LRR02_W025	C_gar_LG14	24800000	24899999	-0.450106	0.013672	0.448005	-0.028946	-0.012036	-0.009141	0.796549
LRR02_W026	C_gar_LG14	24900000	24999999	-0.472245	0.025983	0.457504	-0.045974	-0.03697	-0.002311	0.740845
LRR02_W027	C_gar_LG14	25000000	25099999	-0.5081	-0.028687	0.524486	0.021971	0.033607	0.007796	0.815034
LRR02_W028	C_gar_LG14	25100000	25199999	-0.517745	-0.021487	0.522398	-0.037986	0.01986	-0.026244	0.787509
LRR02_W029	C_gar_LG14	25200000	25299999	-0.461044	-0.001505	0.451557	-0.017383	0.00683	0.046227	0.799911
LRR02_W030	C_gar_LG14	25300000	25399999	-0.485181	-0.024206	0.441577	-0.027462	-0.029709	0.023648	0.778019
LRR02_W031	C_gar_LG14	25400000	25499999	-0.495872	-0.007789	0.44322	-0.000943	0.027966	0.041728	0.773444
LRR02_W032	C_gar_LG14	25500000	25599999	-0.500684	-0.00887	0.453878	0.0031	-0.042546	0.047047	0.749059
LRR02_W033	C_gar_LG14	25600000	25699999	-0.490342	-0.025969	0.486524	-0.047858	-0.048291	0.005355	0.812318
LRR02_W034	C_gar_LG14	25700000	25799999	-0.462908	0.029835	0.476801	-0.001664	-0.028088	0.044503	0.737801
LRR02_W035	C_gar_LG14	25800000	25899999	-0.488292	0.009917	0.483068	-0.037396	-0.020796	0.020902	0.824546
LRR02_W036	C_gar_LG14	25900000	25999999	-0.450311	-0.027306	0.507356	-0.044119	-0.005758	-0.046746	0.733446
