# SYNTHETIC demo — n=226 hatchery (cgar_hatchery_226) — gen_candidate_demo.py
sample_id	karyotype_class	confidence	family_id
S001	H1H2	0.871119	BL01
S002	H2H2	0.860141	BL02
S003	H1H2	0.901196	BL03
S004	H1H1	0.921041	BL04
S005	H1H1	0.91071	BL05
S006	H1H1	0.8627	BL06
S007	H1H2	0.965759	BL07
S008	H1H2	0.881253	BL08
S009	H2H2	0.982679	BL09
S010	H2H2	0.905535	BL10
S011	H2H2	0.856522	BL11
S012	H2H2	0.890545	BL12
S013	H1H2	0.866491	BL13
S014	H1H2	0.964258	BL14
S015	H1H2	0.931424	BL15
S016	H2H2	0.902136	BL16
S017	H2H2	0.85879	BL17
S018	H1H1	0.878834	BL18
S019	H2H2	0.909863	BL01
S020	H1H2	0.931979	BL02
S021	H1H2	0.891967	BL03
S022	H2H2	0.947859	BL04
S023	H1H2	0.930419	BL05
S024	H1H2	0.972519	BL06
S025	H2H2	0.890311	BL07
S026	H2H2	0.866529	BL08
S027	H1H2	0.956	BL09
S028	H1H2	0.918455	BL10
S029	H1H1	0.94355	BL11
S030	H2H2	0.930224	BL12
S031	H2H2	0.893925	BL13
S032	H2H2	0.933212	BL14
S033	H2H2	0.913869	BL15
S034	H2H2	0.982255	BL16
S035	H1H2	0.942981	BL17
S036	H1H1	0.948209	BL18
S037	H2H2	0.989033	BL01
S038	H2H2	0.889843	BL02
S039	H1H2	0.943611	BL03
S040	H1H1	0.914637	BL04
S041	H1H2	0.866393	BL05
S042	H1H1	0.957553	BL06
S043	H1H2	0.884666	BL07
S044	H1H2	0.971999	BL08
S045	H1H1	0.912886	BL09
S046	H2H2	0.973674	BL10
S047	H2H2	0.970958	BL11
S048	H1H2	0.908142	BL12
S049	H1H2	0.973787	BL13
S050	H2H2	0.871129	BL14
S051	H1H2	0.882474	BL15
S052	H1H2	0.917895	BL16
S053	H2H2	0.886785	BL17
S054	H1H1	0.908653	BL18
S055	H1H2	0.929288	BL01
S056	H2H2	0.946669	BL02
S057	H1H2	0.936463	BL03
S058	H2H2	0.857559	BL04
S059	H2H2	0.959196	BL05
S060	H2H2	0.961702	BL06
S061	H1H2	0.905857	BL07
S062	H1H2	0.938801	BL08
S063	H1H1	0.859429	BL09
S064	H1H2	0.872722	BL10
S065	H1H2	0.857361	BL11
S066	H1H1	0.871177	BL12
S067	H1H2	0.900905	BL13
S068	H1H1	0.972407	BL14
S069	H2H2	0.870797	BL15
S070	H1H2	0.898635	BL16
S071	H1H2	0.867198	BL17
S072	H2H2	0.989034	BL18
S073	H1H2	0.917737	BL01
S074	H1H1	0.864306	BL02
S075	H1H2	0.887066	BL03
S076	H2H2	0.872601	BL04
S077	H1H1	0.983138	BL05
S078	H1H2	0.870524	BL06
S079	H2H2	0.853786	BL07
S080	H1H2	0.98699	BL08
S081	H2H2	0.947468	BL09
S082	H1H2	0.901338	BL10
S083	H1H2	0.958071	BL11
S084	H1H2	0.959068	BL12
S085	H1H2	0.881226	BL13
S086	H2H2	0.98789	BL14
S087	H2H2	0.962851	BL15
S088	H2H2	0.953582	BL16
S089	H1H2	0.922469	BL17
S090	H1H2	0.854057	BL18
S091	H1H1	0.889119	BL01
S092	H1H2	0.946953	BL02
S093	H2H2	0.912612	BL03
S094	H2H2	0.988325	BL04
S095	H2H2	0.901049	BL05
S096	H1H2	0.881758	BL06
S097	H1H2	0.878612	BL07
S098	H2H2	0.976043	BL08
S099	H2H2	0.917126	BL09
S100	H2H2	0.96195	BL10
S101	H1H1	0.942482	BL11
S102	H2H2	0.959522	BL12
S103	H2H2	0.916925	BL13
S104	H1H2	0.960479	BL14
S105	H1H2	0.962115	BL15
S106	H2H2	0.905417	BL16
S107	H1H2	0.982552	BL17
S108	H2H2	0.873801	BL18
S109	H1H2	0.871161	BL01
S110	H2H2	0.96291	BL02
S111	H1H2	0.965711	BL03
S112	H2H2	0.942018	BL04
S113	H1H2	0.926812	BL05
S114	H1H2	0.851994	BL06
S115	H2H2	0.940954	BL07
S116	H1H2	0.980707	BL08
S117	H1H2	0.972044	BL09
S118	H2H2	0.879546	BL10
S119	H1H2	0.891015	BL11
S120	H1H2	0.932101	BL12
S121	H1H2	0.908662	BL13
S122	H1H2	0.977402	BL14
S123	H1H2	0.914143	BL15
S124	H2H2	0.976602	BL16
S125	H1H2	0.978481	BL17
S126	H1H2	0.924455	BL18
S127	H1H2	0.852619	BL01
S128	H1H2	0.875635	BL02
S129	H1H1	0.961884	BL03
S130	H1H2	0.916289	BL04
S131	H2H2	0.927907	BL05
S132	H1H2	0.922569	BL06
S133	H2H2	0.959798	BL07
S134	H1H2	0.928441	BL08
S135	H1H2	0.888768	BL09
S136	H2H2	0.92108	BL10
S137	H2H2	0.956399	BL11
S138	H2H2	0.912055	BL12
S139	H2H2	0.920777	BL13
S140	H1H2	0.946982	BL14
S141	H1H2	0.92466	BL15
S142	H1H2	0.98181	BL16
S143	H2H2	0.972715	BL17
S144	H2H2	0.886343	BL18
S145	H2H2	0.982057	BL01
S146	H2H2	0.869199	BL02
S147	H1H2	0.911897	BL03
S148	H1H1	0.883689	BL04
S149	H1H1	0.943726	BL05
S150	H2H2	0.975584	BL06
S151	H1H2	0.950257	BL07
S152	H2H2	0.870017	BL08
S153	H2H2	0.985456	BL09
S154	H1H2	0.983351	BL10
S155	H1H2	0.918217	BL11
S156	H2H2	0.966542	BL12
S157	H1H2	0.910413	BL13
S158	H1H2	0.897476	BL14
S159	H1H2	0.894594	BL15
S160	H2H2	0.852728	BL16
S161	H2H2	0.911664	BL17
S162	H1H1	0.89641	BL18
S163	H2H2	0.921717	BL01
S164	H1H1	0.987912	BL02
S165	H2H2	0.986037	BL03
S166	H1H2	0.887179	BL04
S167	H1H1	0.95906	BL05
S168	H1H2	0.868138	BL06
S169	H1H2	0.977598	BL07
S170	H2H2	0.886205	BL08
S171	H1H2	0.978684	BL09
S172	H2H2	0.948058	BL10
S173	H1H1	0.858054	BL11
S174	H2H2	0.909544	BL12
S175	H1H1	0.981369	BL13
S176	H2H2	0.962228	BL14
S177	H1H1	0.969872	BL15
S178	H1H1	0.970788	BL16
S179	H1H2	0.897481	BL17
S180	H2H2	0.979734	BL18
S181	H1H2	0.868091	BL01
S182	H1H2	0.883381	BL02
S183	H1H2	0.872603	BL03
S184	H1H1	0.878248	BL04
S185	H1H2	0.892701	BL05
S186	H2H2	0.890595	BL06
S187	H1H2	0.874906	BL07
S188	H1H2	0.852543	BL08
S189	H1H2	0.852148	BL09
S190	H2H2	0.927147	BL10
S191	H1H2	0.916466	BL11
S192	H2H2	0.864879	BL12
S193	H2H2	0.910505	BL13
S194	H1H2	0.966846	BL14
S195	H1H2	0.920936	BL15
S196	H2H2	0.987542	BL16
S197	H1H2	0.96652	BL17
S198	H2H2	0.939037	BL18
S199	H1H2	0.898657	BL01
S200	H1H1	0.868175	BL02
S201	H1H1	0.953724	BL03
S202	H1H2	0.872855	BL04
S203	H1H1	0.967778	BL05
S204	H2H2	0.943876	BL06
S205	H1H2	0.88391	BL07
