# SYNTHETIC demo — local-PCA per-window summaries — gen_candidate_demo.py
window_id	chrom	start	end	pc1_median_H1H1	pc1_median_H1H2	pc1_median_H2H2	pc2_median_H1H1	pc2_median_H1H2	pc2_median_H2H2	window_cluster_continuity
LRR03_W001	C_gar_LG07	11100000	11199999	-0.286615	-0.021642	0.341222	0.002376	0.033494	0.000437	0.650468
LRR03_W002	C_gar_LG07	11200000	11299999	-0.277359	0.02357	0.318406	0.01829	-0.027006	0.019333	0.573116
LRR03_W003	C_gar_LG07	11300000	11399999	-0.346691	-0.023705	0.296071	0.033582	0.012777	0.005853	0.632623
LRR03_W004	C_gar_LG07	11400000	11499999	-0.291934	-0.029801	0.308929	0.02977	0.000297	0.024827	0.62352
LRR03_W005	C_gar_LG07	11500000	11599999	-0.29407	0.014207	0.266605	-0.024781	-0.023444	-0.042555	0.642934
LRR03_W006	C_gar_LG07	11600000	11699999	-0.339478	0.028544	0.333983	-0.000605	-0.002099	-0.011744	0.63837
LRR03_W007	C_gar_LG07	11700000	11799999	-0.283303	0.008566	0.321697	-0.042253	-0.024606	-0.035257	0.644322
LRR03_W008	C_gar_LG07	11800000	11899999	-0.329558	-0.029252	0.316776	-0.043934	0.0172	-0.023123	0.639219
LRR03_W009	C_gar_LG07	11900000	11999999	-0.292429	0.000992	0.289086	-0.003534	-0.03815	-0.003366	0.659366
LRR03_W010	C_gar_LG07	12000000	12099999	-0.340075	0.026175	0.357813	-0.04825	0.03199	-0.004103	0.666811
LRR03_W011	C_gar_LG07	12100000	12199999	-0.315055	-0.01741	0.286866	0.044559	0.008147	-0.028929	0.584174
LRR03_W012	C_gar_LG07	12200000	12299999	-0.307593	-0.022044	0.355274	0.032022	0.038686	0.000874	0.640334
LRR03_W013	C_gar_LG07	12300000	12399999	-0.336862	-0.000832	0.349771	-0.047517	-0.00083	-0.049641	0.615076
LRR03_W014	C_gar_LG07	12400000	12499999	-0.329805	-0.009362	0.274071	-0.018392	-0.049826	0.034023	0.645073
LRR03_W015	C_gar_LG07	12500000	12599999	-0.276089	0.025584	0.272004	0.021302	-0.021017	0.040157	0.607222
LRR03_W016	C_gar_LG07	12600000	12699999	-0.32071	0.005351	0.359879	-0.013929	-0.022484	-0.007195	0.574827
LRR03_W017	C_gar_LG07	12700000	12799999	-0.349829	-0.012863	0.343468	0.043559	-0.023427	-0.025068	0.621096
LRR03_W018	C_gar_LG07	12800000	12899999	-0.341015	0.02737	0.297335	0.038427	0.01309	0.031196	0.661342
LRR03_W019	C_gar_LG07	12900000	12999999	-0.26593	0.013174	0.314923	-0.045052	-0.004914	0.023235	0.645267
LRR03_W020	C_gar_LG07	13000000	13099999	-0.295551	-0.027061	0.288621	0.042678	-0.002782	-0.037269	0.604366
LRR03_W021	C_gar_LG07	13100000	13199999	-0.330223	0.028578	0.333903	-0.023983	-0.019916	0.0156	0.625732
LRR03_W022	C_gar_LG07	13200000	13299999	-0.320563	-0.020301	0.276733	-0.029213	-0.000292	0.040596	0.592003
LRR03_W023	C_gar_LG07	13300000	13399999	-0.269374	-0.003002	0.359648	-0.03604	-0.040929	-0.030759	0.604196
LRR03_W024	C_gar_LG07	13400000	13499999	-0.350891	-0.014499	0.283913	0.006962	0.024966	0.038725	0.611278
LRR03_W025	C_gar_LG07	13500000	13599999	-0.318612	-0.007388	0.312417	-0.01618	-0.022248	-0.043794	0.666769
LRR03_W026	C_gar_LG07	13600000	13699999	-0.347413	0.007778	0.31034	0.036286	-0.022898	-0.028404	0.594845
